         1311378 function calls (1282198 primitive calls) in 2.097 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      180    0.003    0.000    3.802    0.021 __init__.py:1(<module>)
   1974/1    0.004    0.000    2.099    2.099 {built-in method builtins.exec}
        1    0.000    0.000    2.099    2.099 train_model.py:1(<module>)
   1803/4    0.008    0.000    2.099    0.525 <frozen importlib._bootstrap>:1002(_find_and_load)
   1782/4    0.005    0.000    2.099    0.525 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1699/6    0.005    0.000    2.097    0.349 <frozen importlib._bootstrap>:659(_load_unlocked)
   1633/6    0.004    0.000    2.097    0.349 <frozen importlib._bootstrap_external>:849(exec_module)
   2143/5    0.001    0.000    2.092    0.418 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
   721/18    0.001    0.000    2.013    0.112 {built-in method builtins.__import__}
 1919/280    0.002    0.000    1.850    0.007 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        2    0.000    0.000    1.351    0.675 __init__.py:3(<module>)
       16    0.130    0.008    1.344    0.084 __init__.py:2(<module>)
       16    0.000    0.000    1.162    0.073 __init__.py:14(<module>)
     1633    0.011    0.000    0.890    0.001 <frozen importlib._bootstrap_external>:921(get_code)
     1854    0.004    0.000    0.710    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
        2    0.000    0.000    0.692    0.346 dataloader.py:1(<module>)
     1854    0.642    0.000    0.642    0.000 {built-in method io.open_code}
        9    0.000    0.000    0.477    0.053 __init__.py:15(<module>)
        3    0.000    0.000    0.411    0.137 accuracy.py:14(<module>)
        1    0.000    0.000    0.404    0.404 augmentation.py:1(<module>)
        1    0.000    0.000    0.352    0.352 average.py:14(<module>)
1759/1739    0.008    0.000    0.326    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     1738    0.001    0.000    0.301    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
1739/1738    0.004    0.000    0.300    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
     2665    0.017    0.000    0.286    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
     7813    0.259    0.000    0.259    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.247    0.247 wandb_helper.py:2(<module>)
        1    0.000    0.000    0.244    0.244 config_util.py:2(<module>)
        7    0.000    0.000    0.242    0.035 util.py:1(<module>)
     7162    0.003    0.000    0.242    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.237    0.237 stochastic_weight_avg.py:14(<module>)
        1    0.000    0.000    0.235    0.235 trainer.py:14(<module>)
        1    0.000    0.000    0.217    0.217 wandb_artifacts.py:2(<module>)
        2    0.000    0.000    0.202    0.101 __init__.py:8(<module>)
        1    0.000    0.000    0.199    0.199 wandb_init.py:3(<module>)
        1    0.000    0.000    0.191    0.191 backend.py:3(<module>)
        1    0.000    0.000    0.183    0.183 internal.py:1(<module>)
        1    0.000    0.000    0.182    0.182 internal_api.py:2(<module>)
        1    0.000    0.000    0.180    0.180 canny.py:1(<module>)
        1    0.000    0.000    0.162    0.162 internal.py:3(<module>)
3186/3172    0.031    0.000    0.157    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.155    0.155 tensorboard.py:14(<module>)
        1    0.000    0.000    0.137    0.137 sender.py:3(<module>)
        1    0.000    0.000    0.113    0.113 writer.py:1(<module>)
        1    0.000    0.000    0.107    0.107 git.py:2(<module>)
     36/7    0.000    0.000    0.102    0.015 _script.py:939(script)
        4    0.000    0.000    0.101    0.025 functional.py:1(<module>)
1695/1684    0.002    0.000    0.092    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     5212    0.001    0.000    0.092    0.000 re.py:250(compile)
     5736    0.004    0.000    0.092    0.000 re.py:289(_compile)
       27    0.000    0.000    0.091    0.003 __init__.py:109(import_module)
    29/27    0.000    0.000    0.091    0.003 <frozen importlib._bootstrap>:1018(_gcd_import)
    13699    0.055    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      230    0.001    0.000    0.084    0.000 sre_compile.py:759(compile)
     2626    0.002    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
     23/5    0.024    0.001    0.081    0.016 {built-in method torch._C._jit_script_compile}
        4    0.000    0.000    0.080    0.020 util.py:176(get_module)
     1628    0.002    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
     2352    0.001    0.000    0.077    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
     1628    0.076    0.000    0.076    0.000 {built-in method marshal.loads}
        2    0.000    0.000    0.072    0.036 __init__.py:3225(_call_aside)
        1    0.000    0.000    0.072    0.072 __init__.py:3242(_initialize_master_working_set)
        5    0.000    0.000    0.071    0.014 base.py:1(<module>)
       23    0.000    0.000    0.069    0.003 frontend.py:254(get_jit_def)
    29/11    0.000    0.000    0.069    0.006 _recursive.py:776(try_compile_fn)
        1    0.000    0.000    0.064    0.064 gql.py:1(<module>)
        3    0.000    0.000    0.063    0.021 activation.py:1(<module>)
        1    0.000    0.000    0.062    0.062 v1.py:15(<module>)
        1    0.000    0.000    0.060    0.060 graphql.py:1(<module>)
        7    0.000    0.000    0.056    0.008 summary.py:15(<module>)
       18    0.000    0.000    0.056    0.003 __init__.py:596(add_entry)
        1    0.000    0.000    0.055    0.055 __init__.py:68(refresh)
      164    0.000    0.000    0.055    0.000 __init__.py:2032(find_on_path)
        2    0.000    0.000    0.055    0.027 cmd.py:946(_call_process)
        2    0.000    0.000    0.055    0.027 cmd.py:583(execute)
     1633    0.001    0.000    0.055    0.000 <frozen importlib._bootstrap_external>:1082(path_stats)
        3    0.000    0.000    0.053    0.018 subprocess.py:1090(communicate)
      230    0.001    0.000    0.051    0.000 sre_parse.py:937(parse)
        1    0.000    0.000    0.051    0.051 connectionpool.py:1(<module>)
  956/230    0.003    0.000    0.050    0.000 sre_parse.py:435(_parse_sub)
     1853    0.050    0.000    0.050    0.000 {method 'read' of '_io.BufferedReader' objects}
 1509/309    0.019    0.000    0.049    0.000 sre_parse.py:493(_parse)
        2    0.000    0.000    0.048    0.024 subprocess.py:1483(_communicate)
        3    0.000    0.000    0.048    0.016 __init__.py:16(<module>)
       24    0.048    0.002    0.048    0.002 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    0.047    0.012 threading.py:1001(join)
        4    0.000    0.000    0.047    0.012 threading.py:1039(_wait_for_tstate_lock)
        5    0.000    0.000    0.047    0.009 summary_v2.py:15(<module>)
        1    0.000    0.000    0.047    0.047 tensor_util.py:15(<module>)
     3266    0.008    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       26    0.001    0.000    0.043    0.002 {built-in method builtins.sorted}
        2    0.000    0.000    0.043    0.021 executor.py:1(<module>)
       23    0.000    0.000    0.042    0.002 _utils_internal.py:46(get_source_lines_and_file)
       23    0.000    0.000    0.041    0.002 inspect.py:997(getsourcelines)
     1695    0.005    0.000    0.040    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       23    0.003    0.000    0.036    0.002 inspect.py:986(getblock)
        7    0.000    0.000    0.034    0.005 core.py:1(<module>)
5289/4962    0.003    0.000    0.033    0.000 typing.py:262(inner)
        1    0.000    0.000    0.031    0.031 public.py:1(<module>)
      230    0.000    0.000    0.031    0.000 sre_compile.py:598(_code)
     5249    0.010    0.000    0.031    0.000 tokenize.py:429(_tokenize)
        1    0.000    0.000    0.029    0.029 model_checkpoint.py:14(<module>)
        1    0.000    0.000    0.029    0.029 __init__.py:554(_build_master)
        1    0.000    0.000    0.029    0.029 __init__.py:541(__init__)
  270/243    0.001    0.000    0.029    0.000 python_message.py:160(__init__)
        1    0.000    0.000    0.029    0.029 accelerator_connector.py:15(<module>)
        1    0.000    0.000    0.029    0.029 cmd.py:191(refresh)
        1    0.000    0.000    0.029    0.029 cmd.py:545(<lambda>)
       31    0.000    0.000    0.028    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
     3297    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.028    0.028 cloud_io.py:15(<module>)
       31    0.027    0.001    0.028    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.028    0.028 interface.py:3(<module>)
       16    0.000    0.000    0.027    0.002 __init__.py:2006(_by_version_descending)
        1    0.027    0.027    0.027    0.027 accelerator_connector.py:73(AcceleratorConnector)
     1664    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.026    0.026 remote.py:223(refresh)
        1    0.000    0.000    0.026    0.026 cmd.py:575(version_info)
        2    0.000    0.000    0.026    0.013 cmd.py:539(__getattr__)
        1    0.000    0.000    0.026    0.026 util.py:248(__getattr__)
        1    0.000    0.000    0.026    0.026 cmd.py:561(_set_cache_)
        1    0.000    0.000    0.026    0.026 requirements.py:4(<module>)
        1    0.001    0.001    0.026    0.026 wandb_internal_pb2.py:5(<module>)
        3    0.000    0.000    0.025    0.008 exceptions.py:1(<module>)
        1    0.000    0.000    0.024    0.024 _script.py:1(<module>)
 2415/230    0.008    0.000    0.024    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.024    0.024 promise.py:1(<module>)
        1    0.000    0.000    0.023    0.023 term.py:1(<module>)
        1    0.000    0.000    0.023    0.023 augment.py:1(<module>)
        2    0.000    0.000    0.023    0.012 connection.py:1(<module>)
        1    0.000    0.000    0.023    0.023 __init__.py:13(<module>)
        1    0.000    0.000    0.022    0.022 compat.py:1(<module>)
        1    0.000    0.000    0.021    0.021 accelerator.py:14(<module>)
        4    0.000    0.000    0.021    0.005 linear.py:1(<module>)
     2780    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
      409    0.020    0.000    0.020    0.000 {built-in method nt.listdir}
        5    0.000    0.000    0.020    0.004 __init__.py:51(create_module)
        5    0.000    0.000    0.020    0.004 __init__.py:29(load_module)
13697/13352    0.003    0.000    0.020    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.020    0.020 plugins_registry.py:14(<module>)
      227    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
        1    0.000    0.000    0.019    0.019 utils.py:3(<module>)
      452    0.019    0.000    0.019    0.000 {built-in method builtins.compile}
        2    0.000    0.000    0.019    0.009 __init__.py:19(<module>)
        1    0.000    0.000    0.019    0.019 config_pb2.py:5(<module>)
       23    0.000    0.000    0.018    0.001 frontend.py:340(build_def)
 1010/885    0.004    0.000    0.018    0.000 python_message.py:294(_AttachFieldHelpers)
      296    0.001    0.000    0.018    0.000 __init__.py:2118(distributions_from_metadata)
  888/591    0.000    0.000    0.018    0.000 typing.py:343(__getitem__)
        2    0.000    0.000    0.018    0.009 hub.py:1(<module>)
       15    0.000    0.000    0.018    0.001 gql.py:6(gql)
       15    0.000    0.000    0.018    0.001 parser.py:11(parse)
       15    0.000    0.000    0.018    0.001 parser.py:186(parse_document)
       25    0.000    0.000    0.017    0.001 parser.py:201(parse_definition)
 2732/256    0.002    0.000    0.017    0.000 frontend.py:327(__call__)
        3    0.000    0.000    0.017    0.006 client.py:1(<module>)
      103    0.000    0.000    0.017    0.000 _builtins.py:129(_get_builtin_table)
       13    0.000    0.000    0.017    0.001 _builtins.py:160(_register_builtin)
        7    0.000    0.000    0.017    0.002 six.py:80(_import_module)
        4    0.000    0.000    0.017    0.004 six.py:112(_resolve)
      320    0.001    0.000    0.017    0.000 overrides.py:187(decorator)
   167/39    0.001    0.000    0.016    0.000 parser.py:162(many)
      227    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1556(_fill_cache)
